Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),Latest volume,Latest digital volume,Latest cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Self Assessment transactions,16822481,9697658,3.31,,,,15735129,9914296,3.57,15591360,9954687,3.48,15759341,10086249,3.48,15861574,10248606,3.41,15861574,10248606,3.41,Providing information,https://www.gov.uk/file-your-self-assessment-tax-return,"Self assessment is the process for the self-employed, higher earners and those with more complicated affairs that cannot be serviced through the PAYE system to calculate their tax liability and declare any income tax due. Self assessment transactions include form submissions, amended submissions and registrations. The online service also provides a view of customers liabilities and payments and designatory information.","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 12 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development and 2011-12 data have been updated with a more accurate reflection of volumes and costs. Changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","Over the next two years HMRC will introduce Digital SA, an online service for ten million Self Assessment customers that will simplify processes, and significantly reduce paperwork. ",Individuals,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Stamp Duty Land Tax transactions,1533172,953554,2.12,,,,1245786,1006281,2.04,1389577,1153657,1.81,1533470,1297730,1.64,1600508,1363017,1.60,1600508,1363017,1.60,Providing information,https://www.gov.uk/buy-sell-your-home/stamp-duty-land-tax,Stamp Duty Land Tax (SDLT) is payable on the purchase or transfer of property or land in the UK where the amount paid is above a certain threshold.,"1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","Transactions include form submissions and amended submissions. The transaction is defined as each incoming customer contact within a process, counted by the channel used to make that contact. The post figures includes all types received including returns filed manually as well as post for general or technical queries. Telephone contact relates to all calls received.
",Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Stamp Duty Reserve Tax transactions,437798150,437789530,0.05,,,,390590310,390581327,0.06,399386440,399377439,0.06,396764764,396755937,0.06,384615959,384607279,0.06,384615959,384607279,0.06,Providing information,http://www.hmrc.gov.uk/sdrt/intro/basics.htm,"Stamp Duty Reserve Tax (SDRT) is paid on electronic 'paperless' share transactions, which is how most shares are bought. When you buy shares using a paper stock transfer form you pay Stamp Duty rather than SDRT.","1. Transaction and cost numbers have been collected using current year outturn data. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","Transactions included are share purchase submissions and amended submissions. The transaction is defined as each incoming customer contact within a process, counted by the channel used to make that contact. The post figures include all types received including returns filed manually as well as post for general or technical queries.  Telephone contact relates to all calls received.
",Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Tax Credits transactions,22806481,,,,,,19742834,0,,20044743,0,,19762174,0,,19400918,,,19400918,,,"Requesting benefits, payments or loans",https://www.gov.uk/browse/benefits/tax-credits,Tax Credits are payments from the government to people who are either responsible for at least one child or on a low income. Universal Credit will eventually replace Tax Credits.,Costs data has been excluded as the service will be incorporated in Universal Credit.,"Transactions include registrations, form submissions, customer letters, change of circumstance notifications and telephone contacts. ",Individuals,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Trusts and Estates transactions,157063,,,,,,,,,132614,,,130327,,,128859,,,128859,,,Providing information,,,,,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,VAT transactions,23512004,11169873,1.37,,,,19456302,15093566,1.71,20394013,16540601,1.48,20323874,17029062,1.28,20275946,17213408,1.21,20275946,17213408,1.21,Providing information,,"Value added tax (VAT) is charged on most goods and services that VAT-registered businesses provide in the UK. Transactions include declaration form submissions, amended submissions and registrations.","The cost of these transactions includes all the back-office activity dealing with work arising from the contacts. It excludes the cost of compliance and enforcement activity. <br>1. Transaction and cost numbers have been collected using current year outturn data. <br>2. Variations to 2011 to 2012 volumes have arisen from a new approach to understanding the VAT service: many transaction services begin digitally but require additional manual intervention in order to complete the transaction effectively, eg identify and deal with basic errors, request additional customer data or apply an assessment of risk. HMRC have been trialling a new approach to measurement which captures this additional processing cost in order to identify the true cost of digital.  This will allow the business to track benefit of moving from a digital “front end only” to digitising the “end-to-end process” and provide the necessary information to make decisions around business process re-engineering and digital re-investment. <br>3. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of overhead cost apportionment.","The transaction is defined as each customer contact, both incoming and outgoing (counted individually), within a process. Estimates from samples are used where a physical count is not available. ",Business,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Billing authority updates to the council tax list,373000,159000,,,,,374045,,,347688,,,352771,,,349715,,,349715,,,Providing information,,,,,Business,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Billing authority updates to the rating list,95000,49000,,,,,95278,,,90621,,,97484,,,97927,,,97927,,,Providing information,,,,,Business,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Business rates appeal,203000,88000,,,,,136323,,,124480,,,115575,,,108102,,,108102,,,Providing information,,,,,Business,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Council tax valuation appeal,15800,3800,,,,,26541,,,29309,,,32783,,,35376,,,35376,,,Providing information,https://www.gov.uk/council-tax-appeals,,,,Individuals,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Domestic rental submissions,500000,,,,,,461805,,,455905,,,460108,,,466381,,,466381,,,Providing information,,,,,Individuals,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Fair rent cases,,,,,,,55951,,,56846,,,58441,,,60644,,,60644,,,,http://www.voa.gov.uk/corporate/RentOfficers/fairRent.html,,,,Individuals,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Housing Benefit appeals,,,,,,,249580,,,241860,,,234883,,,227544,,,227544,,,,,,,,Individuals,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Housing benefit requests from Billing authorities,345000,140000,,,,,382056,,,242644,,,235508,,,228238,,,228238,,,Requesting information,,,,,Business,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Request for non domestic rent information,290000,30000,,,,,241583,,,245737,,,248211,,,238471,,,238471,,,Requesting information,,,,,Business,Taxpayers
Home Office,Home Office,Disclosure and Barring Service,DBS,Adult First checks,,,,,,,49384,49384,6.00,91319,91319,6.00,135024,135024,6.00,165480,,,165480,,,Requesting information,https://www.gov.uk/government/organisations/disclosure-and-barring-service,Adult first is a service provided to the health sector that allows an individual to be checked against the DBS barred lists after submitting an application and in advance of receipt of the criminal record check certificate.,This is a cost applied to the registered body (payment on account basis) and is processed through the DBS website using details from the submitted application. ,This service was run by the Independent Safeguarding Authority (ISA) before it joined with Criminal Records Bureau (CRB) to become DBS in December 2012.<br>The start point of all data periods shown for this service is December 2012.,Business,Fees and charges
